Store code,Business name,Address,Labels,Google Search - Mobile,Google Search - Desktop,Google Maps - Mobile,Google Maps - Desktop,Calls,Messages,Bookings,Directions,Website clicks,Food orders,Food menu clicks,Hotel bookings
,,,,Number of people that viewed your Business Profile on Google Search using Mobile,Number of people that viewed your Business Profile on Google Search using Desktop,Number of people that viewed your Business Profile on Google Maps using Mobile,Number of people that viewed your Business Profile on Google Maps using Desktop,Number of interactions with the call button from your Business Profile,Number of conversations initiated from your Business Profile,Number of bookings made from your Business Profile,Number of requests for directions made from your Business Profile,Number of interactions with the website button from your Business Profile,Number of Food orders placed for pickup or delivery from your Google Business Profile with an Order with Google Provider,Number of Food orders placed for pickup or delivery from your Google Business Profile with an Order with Google Provider,Number of interactions with the hotel supplier's free booking link
Ang101,Swimming Nature - Dartford,"Dartford Girls' Grammar School, Shepherds Lane, Dartford DA1 2NT",,194,33,49,8,0,0,0,7,39,0,0,0
,Swimming Nature Cricklewood,"152 Cricklewood Broadway, London NW2 3ED",,39,15,90,4,1,0,0,24,14,0,0,0
Ang401,Swimming Nature - Rochester/Medway,"King's School, St Margaret's Street, Rochester ME1 1TR",,168,21,66,11,0,0,0,11,19,0,0,0
Ang1102,Swimming Nature - Maidstone,"Mecure Hotel, Hollingbourne, Maidstone ME17 1RE",,10,1,10,0,0,0,0,3,2,0,0,0
Ang804,Swimming Nature - Ramsgate/East Kent,"St Lawrence College, College Road, Ramsgate CT11 7AE",,124,16,36,4,0,0,0,11,11,0,0,0
03786661145992553914,Swimming Nature - Dubai,"01-109 Al Zahraa Techno Center, Al Raffa - Dubai - United Arab Emirates",,5,0,7,2,0,0,0,23,0,0,0,0
00018942765390127205,Swimming Nature - Weybridge,"Greenlands Farm, Walton Lane, Weybridge KT13 8QA",,10,3,4,0,0,0,0,0,0,0,0,0
Ang502,Swimming Nature - Southwark,"Darwin Court, 1 Crail Row, London SE17 1AD",,36,11,55,8,0,0,0,5,3,0,0,0
Ang701,Swimming Nature - Bexhill-on-sea/Hastings,"Battle Abbey Swimming Pool, Next to Bexhill 6th Form College, 30 Penland Road, Bexhill-on-Sea TN40 2JG",,73,14,42,5,0,0,0,34,23,0,0,0
Ang304,Swimming Nature - Rayleigh/Essex,"Sweyne Park School, Sir Walter Raleigh Drive, Rayleigh SS6 9BZ",,148,16,38,10,0,0,0,9,23,0,0,0
,Swimming Nature,"The Maqam Centre, London NW10 3HJ",,679,366,319,42,112,0,0,66,173,0,0,0
03048964391325926550,Swimming Nature - Banbury,"Oxford Road, Banbury OX15 4AF",,52,18,15,4,0,0,0,16,3,0,0,0
Ang504,Swimming Nature - Bromley,"Bromley High School, Blackbrook Lane, Bromley BR1 2TW",,183,57,44,3,0,0,0,12,18,0,0,0
Ang1201,Swimming Nature - Otford/Sevenoaks,"St Michaels School, Otford Court, Ortford TN14 5SA",,21,3,14,4,0,0,0,8,3,0,0,0
Ang501,Swimming Nature - Charlton/Greenwich,"Charlton Park Academy, Charlton Park Road, London SE7 8HX",,103,29,63,12,0,0,0,14,16,0,0,0
Ang306,Swimming Nature - Shenfield/Essex,"Chelmsford Road, Shenfield CM15 8SA",,97,16,38,6,0,0,0,11,19,0,0,0
Ang305,Swimming Nature - Laindon/Essex,"The James Hornsby School, Leinster Road, Laindon SS15 5NX",,69,9,23,1,0,0,0,1,10,0,0,0
03836405279020498546,Swimming Nature - Eastbourne,"7 Edward Road, Masthead Close, Eastbourne BN23 8AS",,72,9,18,1,0,0,0,8,15,0,0,0
Ang102,Swimming Nature - Dartford,"Doubletree by Hilton Hotel, Masthead Close, Crossways Business Park, Dartford DA1 6QF",,222,42,63,5,0,0,0,8,35,0,0,0
00048978576619086957,Swimming Nature - Kensington,"Wrights Lane, London W8 5SP",,9,5,9,0,0,0,0,2,5,0,0,0
02007214386625493977,Swimming Nature - Grove Park,"35 Marvels Lane, London SE12 9PN",,13,0,20,10,0,0,0,6,1,0,0,0
Ang802,Swimming Nature - Whitstable/East Kent,"Tree Tops Retreat Spa, Wraik Hill, Whitstable CT5 3BY",,46,4,14,0,0,0,0,5,1,0,0,0
Ang201,Swimming Nature - Cobham/Gravesend,"Cobham Hall School, Cobham Hall, Brewers Road, Cobham DA12 3BL",,96,11,45,7,0,0,0,8,9,0,0,0
Ang402,Swimming Nature - Rochester/Medway,"Hilltop Primary School, Hilltop Road, Rochester ME2 4QN",,156,13,42,7,0,0,0,7,7,0,0,0
Ang601,Swimming Nature - Surrey,"Notre Dame School, Convent Lane, Cobham, Surrey, Cobham KT11 1HA",,118,33,82,12,0,0,0,20,25,0,0,0
Ang301,Swimming Nature - Brentwood/Essex,"Brentwood County High, Seven Arches Road, Brentwood CM14 4JF",,195,34,71,13,0,0,0,3,25,0,0,0
Ang801,Swimming Nature - Whitstable/East Kent,"Joy Lane Primary School, Joy Lane, Whitstable CT5 4LT",,104,15,43,2,0,0,0,21,12,0,0,0
